# This file is for BSW 3 & Real Space Ship Scale;;;;;;;;;;;;;;;;;;;;;;;                                                    
key;cost;power;min_damage;max_damage;hull_damage;shield_damage;shield_penetration;armor_damage;armor_penetration;min_windup;max_windup;cooldown;range;accuracy;tracking;missile_speed;missile_evasion;missile_shield;missile_armor;missile_health;missile_retarget_range;end;                                                    
MEDIUM_GAMMA_LASER;56;-30;43;115;1;0.5;0;1.5;0;2;20;35;10;0.9;0.3;0;0;0;0;0;0;;                                                    
LARGE_GAMMA_LASER;112;-59;102;276;1;0.5;0;1.5;0;2;20;35;14;0.9;0.05;0;0;0;0;0;0;;                                                    
#;;;;;;;;;;;;;;;;;;;;;;;                                                    
# Mass Drivers;;;;;;;;;;;;;;;;;;;;;;;                                                    
# key;cost;power;min_dmg;max_dmg;hull_dmg;sld_dmg;sld_pnt;amr_dmg;amr_pnt;min_wu;max_wu;cdn;range;accuracy;tracking;msl_spd;msl_evasion;msl_sld;msl_amr;msl_health;msl_rtr;end;                                                    
SMALL_MASS_DRIVER_1;10;-5;5;16;1;1.5;0;0.5;0;1;18;25;9;0.75;0.5;0;0;0;0;0;0;;                                                    
MEDIUM_MASS_DRIVER_1;20;-10;13;40;1;1.5;0;0.5;0;1;18;25;13;0.75;0.3;0;0;0;0;0;0;;                                                    
LARGE_MASS_DRIVER_1;40;-20;30;96;1;1.5;0;0.5;0;1;18;25;17;0.75;0.05;0;0;0;0;0;0;;                                                    
SMALL_MASS_DRIVER_2;13;-7;7;21;1;1.5;0;0.5;0;1;18;25;9;0.75;0.5;0;0;0;0;0;0;;                                                    
MEDIUM_MASS_DRIVER_2;26;-13;18;53;1;1.5;0;0.5;0;1;18;25;13;0.75;0.3;0;0;0;0;0;0;;                                                    
LARGE_MASS_DRIVER_2;52;-26;42;126;1;1.5;0;0.5;0;1;18;25;17;0.75;0.05;0;0;0;0;0;0;;                                                    
SMALL_MASS_DRIVER_3;17;-10;8;27;1;1.5;0;0.5;0;1;18;25;9;0.75;0.5;0;0;0;0;0;0;;                                                    
MEDIUM_MASS_DRIVER_3;34;-17;20;68;1;1.5;0;0.5;0;1;18;25;13;0.75;0.3;0;0;0;0;0;0;;                                                    
LARGE_MASS_DRIVER_3;68;-34;48;162;1;1.5;0;0.5;0;1;18;25;17;0.75;0.05;0;0;0;0;0;0;;                                                    
SMALL_MASS_DRIVER_4;22;-13;11;35;1;1.5;0;0.5;0;1;18;25;9;0.75;0.5;0;0;0;0;0;0;;                                                    
MEDIUM_MASS_DRIVER_4;44;-23;28;88;1;1.5;0;0.5;0;1;18;25;13;0.75;0.3;0;0;0;0;0;0;;                                                    
LARGE_MASS_DRIVER_4;88;-45;66;210;1;1.5;0;0.5;0;1;18;25;17;0.75;0.05;0;0;0;0;0;0;;                                                    
SMALL_MASS_DRIVER_5;28;-17;14;46;1;1.5;0;0.5;0;1;18;25;9;0.75;0.5;0;0;0;0;0;0;;                                                    
MEDIUM_MASS_DRIVER_5;56;-30;35;115;1;1.5;0;0.5;0;1;18;25;13;0.75;0.3;0;0;0;0;0;0;;                                                    
LARGE_MASS_DRIVER_5;112;-59;84;276;1;1.5;0;0.5;0;1;18;25;17;0.75;0.05;0;0;0;0;0;0;;                                                    
#;;;;;;;;;;;;;;;;;;;;;;;                                                    
# Plasma;;;;;;;;;;;;;;;;;;;;;;;                                                    
# key;cost;power;min_dmg;max_dmg;hull_dmg;sld_dmg;sld_pnt;amr_dmg;amr_pnt;min_wu;max_wu;cdn;range;accuracy;tracking;msl_spd;msl_evasion;msl_sld;msl_amr;msl_health;msl_rtr;end;                                                    
SMALL_PLASMA_1;15;-10;12;25;1.5;0.25;0;2;0;2;20;40;7;0.8;0.4;0;0;0;0;0;0;;                                                    
MEDIUM_PLASMA_1;30;-17;30;63;1.5;0.25;0;2;0;2;20;40;10;0.8;0.2;0;0;0;0;0;0;;                                                    
LARGE_PLASMA_1;60;-34;72;150;1.5;0.25;0;2;0;2;20;40;14;0.8;0.05;0;0;0;0;0;0;;                                                    
SMALL_PLASMA_2;20;-13;16;33;1.5;0.25;0;2;0;2;20;40;7;0.8;0.4;0;0;0;0;0;0;;                                                    
MEDIUM_PLASMA_2;40;-23;40;83;1.5;0.25;0;2;0;2;20;40;10;0.8;0.2;0;0;0;0;0;0;;                                                    
LARGE_PLASMA_2;80;-45;96;198;1.5;0.25;0;2;0;2;20;40;14;0.8;0.05;0;0;0;0;0;0;;                                                    
SMALL_PLASMA_3;25;-17;20;42;1.5;0.25;0;2;0;2;20;40;7;0.8;0.4;0;0;0;0;0;0;;                                                    
MEDIUM_PLASMA_3;50;-30;50;105;1.5;0.25;0;2;0;2;20;40;10;0.8;0.2;0;0;0;0;0;0;;                                                    
LARGE_PLASMA_3;100;-59;120;252;1.5;0.25;0;2;0;2;20;40;14;0.8;0.05;0;0;0;0;0;0;;                                                    
#;;;;;;;;;;;;;;;;;;;;;;;                                                    
# Disruptors;;;;;;;;;;;;;;;;;;;;;;;                                                    
# key;cost;power;min_dmg;max_dmg;hull_dmg;sld_dmg;sld_pnt;amr_dmg;amr_pnt;min_wu;max_wu;cdn;range;accuracy;tracking;msl_spd;msl_evasion;msl_sld;msl_amr;msl_health;msl_rtr;end;                                                    
SMALL_DISRUPTOR_1;15;-10;1;18;1;1;1;1;1;2;20;50;5;1;0.6;0;0;0;0;0;0;;                                                    
MEDIUM_DISRUPTOR_1;30;-17;1;45;1;1;1;1;1;2;20;50;9;1;0.35;0;0;0;0;0;0;;                                                    
SMALL_DISRUPTOR_2;20;-13;1;23;1;1;1;1;1;2;20;50;5;1;0.6;0;0;0;0;0;0;;                                                    
MEDIUM_DISRUPTOR_2;40;-23;1;58;1;1;1;1;1;2;20;50;9;1;0.35;0;0;0;0;0;0;;                                                    
SMALL_DISRUPTOR_3;25;-17;1;30;1;1;1;1;1;2;20;50;5;1;0.6;0;0;0;0;0;0;;                                                    
MEDIUM_DISRUPTOR_3;35;-30;1;75;1;1;1;1;1;2;20;50;9;1;0.35;0;0;0;0;0;0;;                                                    
#;;;;;;;;;;;;;;;;;;;;;;;                                                    
# Autocannons;;;;;;;;;;;;;;;;;;;;;;;                                                    
# key;cost;power;min_dmg;max_dmg;hull_dmg;sld_dmg;sld_pnt;amr_dmg;amr_pnt;min_wu;max_wu;cdn;range;accuracy;tracking;msl_spd;msl_evasion;msl_sld;msl_amr;msl_health;msl_rtr;end;                                                    
AUTOCANNON_1;15;-10;8;16;1.25;1.5;0;0.25;0;2;14;15;5;0.85;0.75;0;0;0;0;0;0;;                                                    
AUTOCANNON_2;20;-13;10;21;1.25;1.5;0;0.25;0;2;14;15;5;0.85;0.75;0;0;0;0;0;0;;                                                    
AUTOCANNON_3;25;-17;14;27;1.25;1.5;0;0.25;0;2;14;15;5;0.85;0.75;0;0;0;0;0;0;;                                                    
#;;;;;;;;;;;;;;;;;;;;;;;                                                    
# Long Range;;;;;;;;;;;;;;;;;;;;;;;                                                    
# key;cost;power;min_dmg;max_dmg;hull_dmg;sld_dmg;sld_pnt;amr_dmg;amr_pnt;min_wu;max_wu;cdn;range;accuracy;tracking;msl_spd;msl_evasion;msl_sld;msl_amr;msl_health;msl_rtr;end;                                                    
ENERGY_TORPEDO_1;120;-70;360;800;1.75;0.5;0;1.5;0;1;19;150;17;0.9;0;0;0;0;0;0;0;;                                                    
ENERGY_TORPEDO_2;155;-90;468;1040;1.75;0.5;0;1.5;0;1;19;150;17;0.9;0;0;0;0;0;0;0;;                                                    
AVW_ENERGY_TORPEDO_3;200;-110;576;1280;1.75;0.5;0;1.5;0;1;19;150;17;0.9;0;0;0;0;0;0;0;;# range 130 > 100                                                    
AVW_ENERGY_TORPEDO_4;200;-130;684;1520;1.75;0.5;0;1.5;0;1;19;150;17;0.9;0;0;0;0;0;0;0;;# range 130 > 100                                                    
AVW_ENERGY_TORPEDO_5;200;-150;792;1760;1.75;0.5;0;1.5;0;1;19;150;17;0.9;0;0;0;0;0;0;0;;# range 130 > 100                                                    
# NHSC_ENERGY_TORPEDO_3;200;-110;576;1280;1.75;0.5;0;1.5;0;1;19;150;17;0.9;0;0;0;0;0;0;0;;# range 130 > 100                                                    
# NHSC_ENERGY_TORPEDO_4;200;-130;684;1520;1.75;0.5;0;1.5;0;1;19;150;17;0.9;0;0;0;0;0;0;0;;# range 130 > 100                                                    
KINETIC_ARTILLERY_1;120;-70;150;450;1.25;2;0;0.5;0;1;9;60;21;0.75;0;0;0;0;0;0;0;;                                                    
KINETIC_ARTILLERY_2;155;-90;195;585;1.25;2;0;0.5;0;1;9;60;21;0.75;0;0;0;0;0;0;0;;                                                    
AVW_KINETIC_ARTILLERY_3;200;-110;240;720;1.25;2;0;0.5;0;1;9;60;21;0.75;0;0;0;0;0;0;0;;# range 120 > 125     cdn buff                                                
AVW_KINETIC_ARTILLERY_4;200;-130;285;855;1.25;2;0;0.5;0;1;9;60;21;0.75;0;0;0;0;0;0;0;;# range 120 > 125     cdn buff                                                
AVW_KINETIC_ARTILLERY_5;200;-150;330;990;1.25;2;0;0.5;0;1;9;60;21;0.75;0;0;0;0;0;0;0;;# range 120 > 125     cdn buff                                                
AVW_KINETIC_ARTILLERY_6;200;-170;375;1125;1.25;2;0;0.5;0;1;9;60;21;0.75;0;0;0;0;0;0;0;;# range 120 > 125     cdn buff                                                
AVW_KINETIC_ARTILLERY_7;200;-190;420;1260;1.25;2;0;0.5;0;1;9;60;21;0.75;0;0;0;0;0;0;0;;# range 120 > 125     cdn buff                                                
# NHSC_ARTILLERY_3;200;-110;240;720;1.25;2;0;0.5;0;1;9;60;21;0.75;0;0;0;0;0;0;0;;# range 120 > 125     cdn buff                                                
# NHSC_ARTILLERY_4;200;-130;285;855;1.25;2;0;0.5;0;1;9;60;21;0.75;0;0;0;0;0;0;0;;# range 120 > 125     cdn buff                                                
#;;;;;;;;;;;;;;;;;;;;;;;                                                    
# XL Weapons;;;;;;;;;;;;;;;;;;;;;;;                                                    
# key;cost;power;min_dmg;max_dmg;hull_dmg;sld_dmg;sld_pnt;amr_dmg;amr_pnt;min_wu;max_wu;cdn;range;accuracy;tracking;msl_spd;msl_evasion;msl_sld;msl_amr;msl_health;msl_rtr;end;                                                    
ENERGY_LANCE_1;250;-200;600;1500;1.5;0.5;0;2;0;1;19;120;17;0.9;0;0;0;0;0;0;0;;                                                    
ENERGY_LANCE_2;325;-250;800;2000;1.5;0.5;0;2;0;1;19;120;17;0.9;0;0;0;0;0;0;0;;                                                    
AVW_ENERGY_LANCE_3;400;-300;1000;2500;1.5;0.5;0;2;0;1;19;120;17;0.9;0;0;0;0;0;0;0;;# range 150 > 120     acc 0.85 > 0.9                                                
AVW_ENERGY_LANCE_4;400;-350;1200;3000;1.5;0.5;0;2;0;1;19;120;17;0.9;0;0;0;0;0;0;0;;# range 150 > 120     acc 0.85 > 0.9                                                
AVW_ENERGY_LANCE_5;400;-400;1400;3500;1.5;0.5;0;2;0;1;19;120;17;0.9;0;0;0;0;0;0;0;;# range 150 > 120     acc 0.85 > 0.9                                                
AVW_ENERGY_LANCE_6;400;-450;1600;4000;1.5;0.5;0;2;0;1;19;120;17;0.9;0;0;0;0;0;0;0;;# range 150 > 120     acc 0.85 > 0.9                                                
AVW_ENERGY_LANCE_7;400;-500;1800;4500;1.5;0.5;0;2;0;1;19;120;17;0.9;0;0;0;0;0;0;0;;# range 150 > 120     acc 0.85 > 0.9                                                
# NHSC_PARTICLE_LANCE_3;400;-300;1000;2500;1.5;0.5;0;2;0;1;19;120;17;0.9;0;0;0;0;0;0;0;;# range 150 > 120     acc 0.85 > 0.9                                                
# NHSC_PARTICLE_LANCE_4;400;-350;1200;3000;1.5;0.5;0;2;0;1;19;120;17;0.9;0;0;0;0;0;0;0;;# range 150 > 120     acc 0.85 > 0.9                                                
MASS_ACCELERATOR_1;250;-200;700;2000;1.25;1.5;0;0.75;0;1;9;120;21;0.75;0;0;0;0;0;0;0;;                                                    
MASS_ACCELERATOR_2;325;-250;900;2600;1.25;1.5;0;0.75;0;1;9;120;21;0.75;0;0;0;0;0;0;0;;                                                    
AVW_MASS_ACCELERATOR_3;400;-300;1100;3200;1.25;1.5;0;0.75;0;1;9;120;21;0.75;0;0;0;0;0;0;0;;# cdn buff                                                    
AVW_MASS_ACCELERATOR_4;400;-350;1300;3800;1.25;1.5;0;0.75;0;1;9;120;21;0.75;0;0;0;0;0;0;0;;# cdn buff                                                    
AVW_MASS_ACCELERATOR_5;400;-400;1500;4400;1.25;1.5;0;0.75;0;1;9;120;21;0.75;0;0;0;0;0;0;0;;# cdn buff                                                    
AVW_MASS_ACCELERATOR_6;400;-450;1700;5000;1.25;1.5;0;0.75;0;1;9;120;21;0.75;0;0;0;0;0;0;0;;# cdn buff                                                    
AVW_MASS_ACCELERATOR_7;400;-500;1900;5600;1.25;1.5;0;0.75;0;1;9;120;21;0.75;0;0;0;0;0;0;0;;# cdn buff                                                    
# NHSC_MASS_ACCELERATOR_3;400;-300;1100;3200;1.25;1.5;0;0.75;0;1;9;120;21;0.75;0;0;0;0;0;0;0;;# cdn buff                                                    
# NHSC_MASS_ACCELERATOR_4;400;-350;1300;3800;1.25;1.5;0;0.75;0;1;9;120;21;0.75;0;0;0;0;0;0;0;;# cdn buff                                                    
ARC_EMITTER_1;250;-200;1;650;1;1;1;1;1;1;89;30;17;1;1;0;0;0;0;0;0;;                                                    
ARC_EMITTER_2;325;-250;1;850;1;1;1;1;1;1;89;30;17;1;1;0;0;0;0;0;0;;                                                    
AVW_ARC_EMITTER_3;400;-300;1;1050;1;1;1;1;1;1;89;30;17;1;1;0;0;0;0;0;0;;# range 150 > 80     cdn nuff     tracking 0 > 1                                            
AVW_ARC_EMITTER_4;400;-300;1;1250;1;1;1;1;1;1;89;30;17;1;1;0;0;0;0;0;0;;# range 150 > 80     cdn nuff     tracking 0 > 1                                            
# NHSC_ARC_EMITTER_3;400;-300;1;1050;1;1;1;1;1;1;89;30;17;1;1;0;0;0;0;0;0;;# range 150 > 80     cdn nuff     tracking 0 > 1                                            
# NHSC_ARC_EMITTER_4;400;-300;1;1250;1;1;1;1;1;1;89;30;17;1;1;0;0;0;0;0;0;;# range 150 > 80     cdn nuff     tracking 0 > 1                                            
#;;;;;;;;;;;;;;;;;;;;;;;                                                    
# Titan Laser;;;;;;;;;;;;;;;;;;;;;;;                                                    
# key;cost;power;min_dmg;max_dmg;hull_dmg;sld_dmg;sld_pnt;amr_dmg;amr_pnt;min_wu;max_wu;cdn;range;accuracy;tracking;msl_spd;msl_evasion;msl_sld;msl_amr;msl_health;msl_rtr;end;                                                    
TITAN_LASER;500;-500;5000;10000;1.25;0.75;0;1.5;0;30;45;180;34;0.85;0;0;0;0;0;0;0;;                                                    
PERDITION_BEAM_TITAN;500;-500;5000;10000;1.25;0.75;0;1.5;0;30;45;180;34;0.85;0;0;0;0;0;0;0;;                                                    
AVW_PERDITION_BEAM_2;750;-750;7500;15000;1.25;0.75;0;1.5;0;30;45;180;34;0.85;0;0;0;0;0;0;0;;                                                    
AVW_PERDITION_BEAM_3;1000;-1000;10000;20000;1.25;0.75;0;1.5;0;30;45;180;34;0.85;0;0;0;0;0;0;0;;                                                    
PERDITION_BEAM_ION;500;0;5000;10000;1.25;0.75;0;1.5;0;30;45;180;34;0.85;0;0;0;0;0;0;0;;                                                    
PERDITION_CANNON_TITAN;500;-500;5000;10000;1.25;1.5;0;0.75;0;30;45;180;34;0.85;0;0;0;0;0;0;0;;                                                    
PERDITION_CANNON_TITAN_2;750;-750;7500;15000;1.25;1.5;0;0.75;0;30;45;180;34;0.85;0;0;0;0;0;0;0;;                                                    
PERDITION_CANNON_TITAN_3;1000;-1000;10000;20000;1.25;1.5;0;0.75;0;30;45;180;34;0.85;0;0;0;0;0;0;0;;                                                    
PERDITION_CANNON_ION;500;0;5000;10000;1.25;1.5;0;0.75;0;30;45;180;34;0.85;0;0;0;0;0;0;0;;                                                    
#;;;;;;;;;;;;;;;;;;;;;;;                                                    
# Flak Battery     PD;;;;;;;;;;;;;;;;;;;;;;;                                                
# key;cost;power;min_dmg;max_dmg;hull_dmg;sld_dmg;sld_pnt;amr_dmg;amr_pnt;min_wu;max_wu;cdn;range;accuracy;tracking;msl_spd;msl_evasion;msl_sld;msl_amr;msl_health;msl_rtr;end;                                                    
FLAK_BATTERY_1;8;-5;4;6;0.5;0.1;0;0.1;0;0;0;10;5;1;0.25;0;0;0;0;0;0;;                                                    
FLAK_BATTERY_2;10;-7;6;9;0.5;0.1;0;0.1;0;0;0;10;5;1;0.3;0;0;0;0;0;0;;                                                    
FLAK_BATTERY_3;13;-10;8;12;0.5;0.1;0;0.1;0;0;0;10;5;1;0.35;0;0;0;0;0;0;;                                                    
AVW_FLAK_4;17;-14;10;15;0.5;0.1;0;0.1;0;0;0;10;5;1;0.4;0;0;0;0;0;0;;                                                    
AVW_FLAK_5;22;-19;12;18;0.5;0.1;0;0.1;0;0;0;10;5;1;0.45;0;0;0;0;0;0;;                                                    
AVW_FLAK_6;28;-25;14;21;0.5;0.1;0;0.1;0;0;0;10;5;1;0.5;0;0;0;0;0;0;;                                                    
# NHSC_FLAK_CANNON_4;17;-12;10;15;0.5;0.1;0;0.1;0;0;0;10;5;1;0.4;0;0;0;0;0;0;;                                                    
# NHSC_FLAK_CANNON_5;22;-15;12;18;0.5;0.1;0;0.1;0;0;0;10;5;1;0.45;0;0;0;0;0;0;;                                                    
POINT_DEFENCE_1;8;-5;1;4;0.5;0.1;0;0.1;0;0;0;5;5;1;0.25;0;0;0;0;0;0;;                                                    
POINT_DEFENCE_2;10;-7;1.5;6;0.5;0.1;0;0.1;0;0;0;5;5;1;0.3;0;0;0;0;0;0;;                                                    
POINT_DEFENCE_3;13;-10;2;8;0.5;0.1;0;0.1;0;0;0;5;5;1;0.35;0;0;0;0;0;0;;                                                    
AVW_PD_4;17;-14;2.5;10;0.5;0.1;0;0.1;0;0;0;5;5;1;0.4;0;0;0;0;0;0;;                                                    
AVW_PD_5;22;-19;3;12;0.5;0.1;0;0.1;0;0;0;5;5;1;0.45;0;0;0;0;0;0;;                                                    
AVW_PD_6;28;-25;3.5;14;0.5;0.1;0;0.1;0;0;0;5;5;1;0.5;0;0;0;0;0;0;;                                                    
# NHSC_POINT_DEFENSE_4;17;-12;2.5;10;0.5;0.1;0;0.1;0;0;0;5;5;1;0.4;0;0;0;0;0;0;;                                                    
# NHSC_POINT_DEFENSE_5;22;-15;3;12;0.5;0.1;0;0.1;0;0;0;5;5;1;0.45;0;0;0;0;0;0;;                                                    
# NHSC_LIGHTSTORM_PD;0;-20;5;12;0.5;0.1;0;0.1;0;0;0;5;6;1;0.5;0;0;0;0;0;0;;                                                    
#;;;;;;;;;;;;;;;;;;;;;;;                                                    
# Missiles;;0;4;4;2;;;2.5;;4;4;4;;;;1.65;;;;1;;;                                                    
# key;cost;power;min_dmg;max_dmg;hull_dmg;sld_dmg;sld_pnt;amr_dmg;amr_pnt;min_wu;max_wu;cdn;range;accuracy;tracking;msl_spd;msl_evasion;msl_sld;msl_amr;msl_health;msl_rtr;end;                                                    
MISSILE_1;20;0;120;160;2.5;1;1;2.5;0;4;20;260;9;1;0.25;660;0;0;0;6;50;;                                                    
MISSILE_2;26;0;156;208;2.5;1;1;2.5;0;4;20;260;13;1;0.25;660;0.1;0;0;7;75;;                                                    
MISSILE_3;34;0;204;272;2.5;1;1;2.5;0;4;20;260;17;1;0.25;660;0.2;0;0;8;100;;                                                    
MISSILE_4;44;0;264;352;2.5;1;1;2.5;0;4;20;260;21;1;0.25;660;0.3;0;0;9;125;;                                                    
MISSILE_5;58;0;344;456;2.5;1;1;2.5;0;4;20;260;25;1;0.25;660;0.4;0;0;10;150;;                                                    
AVW_MISSILE_6;50;0;444;584;2.5;1;1;2.5;0;4;20;260;25;1;0.25;660;0.5;0;0;11;150;;# 11                                                    
AVW_MISSILE_7;50;0;568;740;2.5;1;1;2.5;0;4;20;260;25;1;0.25;660;0.6;0;0;12;150;;# 12                                                    
AVW_MISSILE_8;50;0;720;892;2.5;1;1;2.5;0;4;20;260;25;1;0.25;660;0.7;0;0;13;150;;# 13                                                    
AVW_MISSILE_9;50;0;908;1168;2.5;1;1;2.5;0;4;20;260;25;1;0.25;660;0.8;0;0;14;150;;# 14                                                    
AVW_MISSILE_10;50;0;1140;1456;2.5;1;1;2.5;0;4;20;260;25;1;0.25;660;0.9;0;0;15;150;;# 15                                                    
#;;;;;;;;;;;;;;;;;;;;;;;# 11                                                    
# Torpedoes;;0;4;4;3;;;2;;4;4;4;;;;1.65;;;;1;;;# 12                                                    
# key;cost;power;min_dmg;max_dmg;hull_dmg;sld_dmg;sld_pnt;amr_dmg;amr_pnt;min_wu;max_wu;cdn;range;accuracy;tracking;msl_spd;msl_evasion;msl_sld;msl_amr;msl_health;msl_rtr;;                                                    
TORPEDO_1;40;0;660;1060;3;1;1;3;0;8;40;820;9;1;0.1;578;0;0;0;8;50;;                                                    
TORPEDO_2;52;0;860;1380;3;1;1;3;0;8;40;820;17;1;0.1;578;0;0;0;11;100;end;                                                    
TORPEDO_3;68;0;1100;1780;3;1;1;3;0;8;40;820;25;1;0.1;578;0;0;0;14;150;;                                                    
AVW_TORPEDO_4;50;0;1380;2260;3;1;1;3;0;8;40;820;25;1;0.1;578;0;0;0;17;150;;                                                    
AVW_TORPEDO_5;50;0;1708;2836;3;1;1;3;0;8;40;820;25;1;0.1;578;0;0;0;20;150;;                                                    
AVW_TORPEDO_6;50;0;2092;3528;3;1;1;3;0;8;40;820;25;1;0.1;578;0;0;0;23;150;;# 17                                                    
AVW_TORPEDO_7;50;0;2540;4360;3;1;1;3;0;8;40;820;25;1;0.1;578;0;0;0;26;150;;# 20                                                    
#;;;;;;;;;;;;;;;;;;;;;;;# 23                                                    
# Swarmer Missiles;;0;4;4;1;;;1;;4;4;4;;;;1.65;;;;1;;;# 26                                                    
# key;cost;power;min_dmg;max_dmg;hull_dmg;sld_dmg;sld_pnt;amr_dmg;amr_pnt;min_wu;max_wu;cdn;range;accuracy;tracking;msl_spd;msl_evasion;msl_sld;msl_amr;msl_health;msl_rtr;;# 17                                                    
SWARMER_MISSILE_1;50;0;80;108;1;1;1;1;0;4;20;140;17;1;0.3;693;0;0;0;30;100;;# 20                                                    
SWARMER_MISSILE_2;65;0;132;192;1;1;1;1;0;4;20;140;25;1;0.3;693;0;0;0;40;150;;                                                    
AVW_SWARMER_MISSILE_3;50;0;184;276;1;1;1;1;0;4;20;140;25;1;0.3;693;0;0;0;50;150;;                                                    
AVW_SWARMER_MISSILE_4;50;0;236;360;1;1;1;1;0;4;20;140;25;1;0.3;693;0;0;0;60;150;end;                                                    
AVW_SWARMER_MISSILE_5;50;0;288;444;1;1;1;1;0;4;20;140;25;1;0.3;693;0;0;0;70;150;;                                                    
#;;;;;;;;;;;;;;;;;;;;;;;                                                    
# Researchable Space Critters;;;;;;;;;;;;;;;;;;;;;;;                                                    
# key;cost;power;min_dmg;max_dmg;hull_dmg;sld_dmg;sld_pnt;amr_dmg;amr_pnt;min_wu;max_wu;cdn;range;accuracy;tracking;msl_spd;msl_evasion;msl_sld;msl_amr;msl_health;msl_rtr;end;                                                    
SPACE_CLOUD_LIGHTNING;50;-40;1;136;1;1;1;1;1;1;39;30;17;1;1;0;0;0;0;0;0;;                                                    
AVW_SPACE_CLOUD_WEAPON_2;50;-55;1;272;1;1;1;1;1;1;39;30;17;1;1;0;0;0;0;0;0;;                                                    
# NHSC_CLOUD_LIGHTNING_2;50;-55;1;272;1;1;1;1;1;1;39;30;17;1;1;0;0;0;0;0;0;;                                                    
# NHSC_CLOUD_LIGHTNING_3;50;-70;1;408;1;1;1;1;1;1;39;30;17;1;1;0;0;0;0;0;0;;                                                    
SMALL_MINING_LASER;15;-7;9;22;1.75;0.5;0;1.25;0;1;19;30;5;0.75;0.4;0;0;0;0;0;0;;                                                    
MEDIUM_MINING_LASER;30;-13;23;55;1.75;0.5;0;1.25;0;1;19;30;10;0.7;0.2;0;0;0;0;0;0;;                                                    
SPACE_WHALE_WEAPON;15;-10;10;27;1;2;0;0.25;0;1;19;30;9;0.75;0.5;0;0;0;0;0;0;;                                                    
#;;;;;;;;;;;;;;;;;;;;;;;                                                    
# Misc Space Critters;;;;;;;;;;;;;;;;;;;;;;;                                                    
# key;cost;power;min_dmg;max_dmg;hull_dmg;sld_dmg;sld_pnt;amr_dmg;amr_pnt;min_wu;max_wu;cdn;range;accuracy;tracking;msl_spd;msl_evasion;msl_sld;msl_amr;msl_health;msl_rtr;end;                                                    
MEDIUM_PROBE_LIGHTNING;0;0;12;29;1;1;0;1;0;1;19;35;10;0.85;0.3;0;0;0;0;0;0;;                                                    
PSIONIC_BLAST_1;0;0;300;700;1;0.25;0;1;1;2;25;30;15;0.9;1;0;0;0;0;0;0;;                                                    
SMALL_SPACE_AMOEBA_WEAPON;0;0;9;22;1.33;1;0;1.25;0;1;19;30;7;0.75;0.5;0;0;0;0;0;0;;                                                    
LARGE_SPACE_AMOEBA_WEAPON;0;0;54;132;1.33;1;0;1.25;0;1;19;30;10;0.75;0.3;0;0;0;0;0;0;;                                                    
